date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:56	27341/27341	---M--	200	added ('OK')	image/png	etag:%22010cb138c0407b5e676c3b96c62f9d2d%22	https://5.imimg.com/data5/KU/DD/JK/SELLER-4170864/sheet-metal-parts-125x125.png	S:/New%20Project/productWebsite/5.imimg.com/data5/KU/DD/JK/SELLER-4170864/sheet-metal-parts-125x125.png	(from https://www.panddengineers.in/sheet-metal-components.html)
10:46:56	5729/5729	---M--	200	added ('OK')	image/jpg	etag:%22c1a3c1b0fc5efd65cc942980fc4d978b%22	https://5.imimg.com/data5/UO/AA/MY-4170864/sheet-metal-bracket-250x250.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/UO/AA/MY-4170864/sheet-metal-bracket-250x250.jpg	(from https://www.panddengineers.in/sheet-metal-components.html)
10:46:57	15470/15470	---M--	200	added ('OK')	image/jpg	etag:%2234ec460372fa2f0aa995287bcdf98407%22	https://5.imimg.com/data5/UO/AA/MY-4170864/sheet-metal-bracket-500x500.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/UO/AA/MY-4170864/sheet-metal-bracket-500x500.jpg	(from https://www.panddengineers.in/sheet-metal-components.html)
10:46:57	7127/7127	---M--	200	added ('OK')	image/jpg	etag:%2224298364450ce1a1914287562c2f9003%22	https://5.imimg.com/data5/UO/AA/MY-4170864/sheet-metal-bracket-125x125.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/UO/AA/MY-4170864/sheet-metal-bracket-125x125.jpg	(from https://www.panddengineers.in/sheet-metal-components.html)
10:46:57	11844/11844	---M--	200	added ('OK')	image/jpeg	etag:%22a00583d407a4ede684e7a1689a457aed%22	https://5.imimg.com/data5/BU/WK/FM/ANDROID-4170864/product-jpeg-250x250.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/BU/WK/FM/ANDROID-4170864/product-jpeg-250x250.jpg	(from https://www.panddengineers.in/sheet-metal-components.html)
10:46:58	4287/4287	---M--	200	added ('OK')	image/jpeg	etag:%222dc12dd7bdd15d2ac8b51dda22ef8054%22	https://5.imimg.com/data5/BU/WK/FM/ANDROID-4170864/product-jpeg-125x125.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/BU/WK/FM/ANDROID-4170864/product-jpeg-125x125.jpg	(from https://www.panddengineers.in/sheet-metal-components.html)
10:46:58	33079/33079	---M--	200	added ('OK')	image/jpeg	etag:%22d4ce9a34e6edb70f5d440bdd3d691c02%22	https://5.imimg.com/data5/BU/WK/FM/ANDROID-4170864/product-jpeg-500x500.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/BU/WK/FM/ANDROID-4170864/product-jpeg-500x500.jpg	(from https://www.panddengineers.in/sheet-metal-components.html)
10:46:59	16660/16660	---M--	200	added ('OK')	image/jpg	etag:%2218ddd497e4b1b2074f6bd0200f4ca22b%22	https://5.imimg.com/data5/UI/AA/MY-4170864/punching-die-500x500.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/UI/AA/MY-4170864/punching-die-500x500.jpg	(from https://www.panddengineers.in/punching-die.html)
10:46:59	6536/6536	---M--	200	added ('OK')	image/jpg	etag:%22df24cb6cbac492da9620eeef6371aabc%22	https://5.imimg.com/data5/UI/AA/MY-4170864/punching-die-250x250.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/UI/AA/MY-4170864/punching-die-250x250.jpg	(from https://www.panddengineers.in/punching-die.html)
10:46:59	8522/8522	---M--	200	added ('OK')	image/jpg	etag:%2238eb3730299866028e26bc2eb7d95320%22	https://5.imimg.com/data5/UI/AA/MY-4170864/punching-die-125x125.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/UI/AA/MY-4170864/punching-die-125x125.jpg	(from https://www.panddengineers.in/punching-die.html)
